Address,URL,Title
 (Brooklyn),https://newyork.craigslist.org/brk/egr/d/furniture-designer/6622179366.html,Furniture Designer
 (Mamaroneck),https://newyork.craigslist.org/wch/egr/d/landscape-designer-project/6622133381.html,Landscape Designer/Project Manager
 (TriBeCa),https://newyork.craigslist.org/mnh/egr/d/project-supervisor-40-50k/6622082458.html,Project Supervisor -- $40-50k
 (Chelsea),https://newyork.craigslist.org/mnh/egr/d/trainee-project-manager-help/6622068665.html,Trainee Project Manager - Help us build some of NYC's best workplaces
,https://newyork.craigslist.org/mnh/egr/d/midtown-architecture-office/6622066460.html,Midtown Architecture Office searching for entry level candidate
 (Chelsea),https://newyork.craigslist.org/mnh/egr/d/revit-drafter-needed-at-high/6621974260.html,Revit Drafter needed at High-End Glass Wall Company
 (Queens),https://newyork.craigslist.org/que/egr/d/architectural-drafter-needed/6621928781.html,Architectural Drafter Needed for Immediate Hire
 (Brooklyn),https://newyork.craigslist.org/brk/egr/d/architectural-drafter-needed/6621836012.html,Architectural Drafter Needed for Immediate Hire
 (jersey city),https://newyork.craigslist.org/jsy/egr/d/project-manager-engineer/6621572045.html,Project Manager/ Engineer - Contemporary Furniture Manufacturer
 (Brooklyn),https://newyork.craigslist.org/brk/egr/d/architecture-interiors-firm/6621458472.html,Architecture & Interiors Firm seeks Junior Architect
 (Chelsea),https://newyork.craigslist.org/mnh/egr/d/senior-architectural-designer/6621411376.html,Senior Architectural Designer
,https://newyork.craigslist.org/brk/egr/d/structural-engineer-pe/6621363040.html,Structural Engineer P.E.
 (Astoria),https://newyork.craigslist.org/mnh/egr/d/architecture-draftsman/6621351883.html,Architecture / Draftsman
 (Brooklyn),https://newyork.craigslist.org/brk/egr/d/immediate-hire-firm-seeking/6621314121.html,IMMEDIATE HIRE - Firm Seeking Junior Architect/Draftsman
,https://newyork.craigslist.org/brx/egr/d/estimator-to-read-public-bids/6621223702.html,Estimator to read public bids
 (DOWNTOWN BROOKLYN),https://newyork.craigslist.org/brk/egr/d/freelance-experienced-cad/6621013508.html,FREELANCE EXPERIENCED CAD DRAFTER NEEDED: IMMEDIATE HIRE
,https://newyork.craigslist.org/wch/egr/d/civil-engineer-estimator-site/6620955268.html,Civil Engineer Estimator Site Work/Heavy Construction
 (All Boroughs),https://newyork.craigslist.org/que/egr/d/nyc-dob-expediter-seeks-2/6620930186.html,NYC DOB Expediter Seeks 2 Filing Rep/Project Manager 70k Starting
